Código	Produto	Tipo	Preço Unitário	Quantidade	Emissão	Vencimento	Taxa	ValorLiquido	Liquidado?	Lote	Antecipar?
24L01603702	BANCO ABC BRASIL S.A.	LCA	R$ 0,01	120000	06/12/2024	06/12/2028	IPCA + 6,99%	R$ 1.462,07	FALSE	3	FALSE
24L01603698	BANCO ABC BRASIL S.A.	LCA	R$ 0,01	400000	06/12/2024	06/12/2028	IPCA + 6,99%	R$ 4.873,56	FALSE	3	FALSE
CDB422MO7XT	BANCO PINE S/A	CDB	R$ 1.602,84	1	07/12/2022	06/12/2028	126,00% do CDI	R$ 1.535,15	FALSE	3	FALSE
24L01921228	BANCO ABC BRASIL S.A.	LCA	R$ 0,01	420000	11/12/2024	11/12/2028	IPCA + 7,09%	R$ 5.120,61	FALSE	3	FALSE
24L02017296	BANCO ABC BRASIL S.A.	LCA	R$ 0,01	300000	12/12/2024	12/12/2028	IPCA + 7,01%	R$ 3.651,92	FALSE	3	FALSE
24L01597369	BANCO ABC BRASIL S.A.	LCA	R$ 1,24	3000	06/12/2024	15/12/2028	13,89% a.a.	R$ 3.731,95	FALSE	3	FALSE
24L02609686	BANCO ABC BRASIL S.A.	LCA	R$ 0,01	500000	18/12/2024	18/12/2028	IPCA + 7,63%	R$ 6.117,76	FALSE	3	FALSE
CDBC248TPD2	BANCO BMG S.A	CDB	R$ 1.198,11	1	18/12/2024	18/12/2028	123,00% do CDI	R$ 1.167,40	FALSE	3	FALSE
24L02710624	BANCO ABC BRASIL S.A.	LCA	R$ 0,01	500000	19/12/2024	19/12/2028	IPCA + 8,22%	R$ 6.170,97	FALSE	3	FALSE
24L02710639	BANCO ABC BRASIL S.A.	LCA	R$ 0,01	500000	19/12/2024	19/12/2028	IPCA + 8,22%	R$ 6.170,97	FALSE	3	FALSE
CDB3241KWUY	BANCO BMG S.A	CDB	R$ 1.402,27	3	04/03/2024	07/02/2029	126,00% do CDI	R$ 4.034,38	FALSE	4	FALSE
CDB4243GKTZ	BANCO BMG S.A	CDB	R$ 1.385,80	4	04/04/2024	03/04/2029	125,50% do CDI	R$ 5.306,30	FALSE	4	FALSE
CDB2232OLP6	BANCO BMG S.A	CDB	R$ 1,50	5920	06/04/2023	04/04/2029	123,00% do CDI	R$ 8.631,88	FALSE	4	FALSE
CDB4244XXRT	BANCO BMG S.A	CDB	R$ 1.386,34	8	08/04/2024	09/04/2029	125,00% do CDI	R$ 10.645,67	FALSE	4	FALSE
CDB42461BH5	BANCO BMG S.A	CDB	R$ 1.382,96	4	09/04/2024	09/04/2029	125,50% do CDI	R$ 5.300,69	FALSE	4	FALSE
CDB42483K8S	BANCO BMG S.A	CDB	R$ 1.383,64	4	12/04/2024	11/04/2029	126,00% do CDI	R$ 5.307,16	FALSE	4	FALSE
CDB4248Q6I8	BANCO BMG S.A	CDB	R$ 1.385,82	6	15/04/2024	16/04/2029	125,00% do CDI	R$ 7.952,97	FALSE	4	FALSE
CDB4248Q5OQ	BANCO BMG S.A	CDB	R$ 1.275,81	2	15/04/2024	16/04/2029	IPCA + 8,20%	R$ 2.464,50	FALSE	4	FALSE
CDB424B5RXS	BANCO BMG S.A	CDB	R$ 1.388,86	2	19/04/2024	18/04/2029	123,00% do CDI	R$ 2.696,71	FALSE	4	FALSE
CDB424BMU4G	BANCO BMG S.A	CDB	R$ 1.285,90	3	22/04/2024	23/04/2029	IPCA + 8,20%	R$ 3.718,86	FALSE	4	FALSE
CDB424BMZG7	BANCO BMG S.A	CDB	R$ 1.387,22	5	22/04/2024	23/04/2029	124,00% do CDI	R$ 6.629,34	FALSE	4	FALSE
CDB424CB9PG	BANCO BMG S.A	CDB	R$ 1.384,99	20	23/04/2024	23/04/2029	124,00% do CDI	R$ 26.557,76	FALSE	4	FALSE
CDB424CYICH	BANCO BMG S.A	CDB	R$ 1.378,51	11	24/04/2024	23/04/2029	125,09% do CDI	R$ 14.570,63	FALSE	4	FALSE
CDB424CBBA4	BANCO BMG S.A	CDB	R$ 1.399,99	1	23/04/2024	23/04/2029	124,00% do CDI	R$ 1.351,83	FALSE	4	FALSE
CDB424EFPVX	BANCO BMG S.A	CDB	R$ 1.377,93	2	29/04/2024	30/04/2029	124,00% do CDI	R$ 2.655,33	FALSE	4	FALSE
CDB7240IHDZ	BANCO BMG S.A	CDB	R$ 1.238,51	5	01/07/2024	02/07/2029	IPCA + 8,20%	R$ 5.967,70	FALSE	4	FALSE
22G00278986	BANCO COOPERATIVO SICREDI S.A.	LCA	R$ 1.650,52	4	08/07/2022	13/11/2029	13,04% a.a.	R$ 6.602,08	FALSE	4	FALSE
CDB422LG4K8	BANCO PINE S/A	CDB	R$ 1.574,54	5	05/12/2022	05/12/2029	124,00% do CDI	R$ 7.587,53	FALSE	4	FALSE
25B02303651	BANCO COOPERATIVO DO BRASIL S/A	LCA	R$ 1.209,85	1	12/02/2025	17/01/2030	103,00% do CDI	R$ 1.209,84	FALSE	5	FALSE
25B02386293	BANCO COOPERATIVO DO BRASIL S/A	LCA	R$ 1.209,02	12	13/02/2025	18/01/2030	103,00% do CDI	R$ 14.508,27	FALSE	5	FALSE
CDB2244NNO2	BANCO BMG S.A	CDB	R$ 1.342,73	6	08/02/2024	06/02/2030	126,00% do CDI	R$ 7.728,07	FALSE	5	FALSE
CDB224C9BQ9	BANCO BMG S.A	CDB	R$ 1.355,84	1	28/02/2024	23/01/2031	124,00% do CDI	R$ 1.314,75	FALSE	6	FALSE
21C00482331	BANCO BTG PACTUAL S A	LCA	R$ 1.726,38	4	10/03/2021	10/03/2031	IPCA + 4,32%	R$ 6.905,53	FALSE	6	FALSE
21C00549500	BANCO BTG PACTUAL S A	LCA	R$ 1.628,31	4	15/03/2021	17/03/2031	9,44% a.a.	R$ 6.513,24	FALSE	6	FALSE
21D00402756	BANCO BTG PACTUAL S A	LCA	R$ 1.703,05	16	08/04/2021	08/04/2031	10,49% a.a.	R$ 27.248,82	FALSE	6	FALSE
21D00428280	BANCO BTG PACTUAL S A	LCA	R$ 1.721,41	8	09/04/2021	09/04/2031	IPCA + 4,50%	R$ 13.771,24	FALSE	6	FALSE
21D00500691	BANCO BTG PACTUAL S A	LCA	R$ 1.743,17	2	14/04/2021	14/04/2031	IPCA + 4,76%	R$ 3.486,34	FALSE	6	FALSE
21D00500693	BANCO BTG PACTUAL S A	LCA	R$ 1.702,82	3	14/04/2021	14/04/2031	10,52% a.a.	R$ 5.108,44	FALSE	6	FALSE
21D00544040	BANCO BTG PACTUAL S A	LCA	R$ 1.687,60	1	16/04/2021	16/04/2031	10,35% a.a.	R$ 1.687,60	FALSE	6	FALSE
CDB624A0ZWZ	BANCO PINE S/A	CDB	R$ 1.121,22	2	27/06/2024	27/06/2031	126,00% do CDI	R$ 2.142,15	FALSE	6	FALSE
CDB724AKOGA	BANCO PINE S/A	CDB	R$ 1.130,75	11	29/07/2024	29/07/2031	124,00% do CDI	R$ 12.073,91	FALSE	6	FALSE
CDB8245VBYY	BANCO BMG S.A	CDB	R$ 1.115,83	10	14/08/2024	13/08/2031	124,00% do CDI	R$ 10.878,92	FALSE	6	FALSE
CDB8245VD8T	BANCO PINE S/A	CDB	R$ 1.103,81	4	14/08/2024	14/08/2031	124,00% do CDI	R$ 4.312,33	FALSE	6	FALSE
